Feature,Coefficient
Time,2.7643707948278528e-05
V14,1.0787248751507041
V4,0.8225463260203851
V12,0.7371553095489939
V22,0.6107205331096514
V8,0.49165369639433315
V10,0.46619765821793474
V17,0.442267212759459
V16,0.42977251984518194
Log_Amount,0.40573245886187065
V20,0.37379949628204134
V15,0.3389082979112348
V13,0.3317062265806358
V3,0.30260408992067056
V5,0.29602018539851427
V25,0.23841266600398556
V6,0.1982807463192487
V9,0.18902181803871163
V23,0.1846012604109496
V26,0.18328618691656537
V2,0.17630002477120282
V7,0.17362247477489745
V19,0.13866663714905283
V21,0.12958142281653384
hour,0.12842933230856335
V11,0.12285119969293212
V27,0.11958444220627741
V1,0.08430653591121479
V28,0.07843096763834206
Hour,0.06864578103686303
V18,0.02349939315145907
V24,0.012535582530781762
Amount,0.004679347800744561
day_of_week,0.002860240557777384
V1_Amount_Interaction,0.0011125058653715697
